"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INCOMEINEQ","GINI","INEQ","A","2014",0.337,
"AUS","INCOMEINEQ","GINI","INEQ","A","2016",0.33,
"AUS","INCOMEINEQ","GINI","INEQ","A","2018",0.325,
"AUT","INCOMEINEQ","GINI","INEQ","A","2014",0.274,
"AUT","INCOMEINEQ","GINI","INEQ","A","2015",0.275,
"AUT","INCOMEINEQ","GINI","INEQ","A","2016",0.284,
"AUT","INCOMEINEQ","GINI","INEQ","A","2017",0.275,
"BEL","INCOMEINEQ","GINI","INEQ","A","2014",0.267,
"BEL","INCOMEINEQ","GINI","INEQ","A","2015",0.268,
"BEL","INCOMEINEQ","GINI","INEQ","A","2016",0.266,
"BEL","INCOMEINEQ","GINI","INEQ","A","2017",0.263,
"CAN","INCOMEINEQ","GINI","INEQ","A","2014",0.313,
"CAN","INCOMEINEQ","GINI","INEQ","A","2015",0.318,
"CAN","INCOMEINEQ","GINI","INEQ","A","2016",0.307,
"CAN","INCOMEINEQ","GINI","INEQ","A","2017",0.31,
"CZE","INCOMEINEQ","GINI","INEQ","A","2014",0.257,
"CZE","INCOMEINEQ","GINI","INEQ","A","2015",0.258,
"CZE","INCOMEINEQ","GINI","INEQ","A","2016",0.253,
"CZE","INCOMEINEQ","GINI","INEQ","A","2017",0.249,
"DNK","INCOMEINEQ","GINI","INEQ","A","2014",0.256,
"DNK","INCOMEINEQ","GINI","INEQ","A","2015",0.263,
"DNK","INCOMEINEQ","GINI","INEQ","A","2016",0.261,
"FIN","INCOMEINEQ","GINI","INEQ","A","2014",0.257,
"FIN","INCOMEINEQ","GINI","INEQ","A","2015",0.26,
"FIN","INCOMEINEQ","GINI","INEQ","A","2016",0.259,
"FIN","INCOMEINEQ","GINI","INEQ","A","2017",0.266,
"FRA","INCOMEINEQ","GINI","INEQ","A","2014",0.293,
"FRA","INCOMEINEQ","GINI","INEQ","A","2015",0.295,
"FRA","INCOMEINEQ","GINI","INEQ","A","2016",0.291,
"FRA","INCOMEINEQ","GINI","INEQ","A","2017",0.292,
"DEU","INCOMEINEQ","GINI","INEQ","A","2014",0.289,
"DEU","INCOMEINEQ","GINI","INEQ","A","2015",0.293,
"DEU","INCOMEINEQ","GINI","INEQ","A","2016",0.294,
"DEU","INCOMEINEQ","GINI","INEQ","A","2017",0.289,
"GRC","INCOMEINEQ","GINI","INEQ","A","2014",0.339,
